,datetime,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_inflow_total,btc_outflow_total,btc_netflow_total,btc_coinbase_premium_index,btc_coinbase_premium_gap
16,2022-01-01 08:00:00,47198.9987315,47346.82908747,47082.32346627,47123.09135989,1772.1373845611618,1262.45080815,635.70998972,626.7408184300001,-0.0103767,-4.89
17,2022-01-01 09:00:00,47125.42936071,47217.49707767,46938.66251975,47138.76151283,1446.4817529937018,384.06661527,530.75879208,-146.69217681000003,-0.00914221,-4.31
18,2022-01-01 10:00:00,47144.59704423,47298.08738773,46717.47042308,46868.61865725,2712.998436548474,751.44333378,1192.8571973,-441.41386352000006,-0.0155533,-7.29
19,2022-01-01 11:00:00,46872.97940832,47006.35458174,46444.6840899,46756.62865525,2338.4809655650583,429.97997547,739.3976393,-309.41766383000004,-0.00162536,-0.76
20,2022-01-01 12:00:00,46758.55636793,47155.13131953,46753.81687086,47081.55165428,1567.0526854035545,863.82900596,1242.0867349,-378.25772894,0.02328247,10.96
21,2022-01-01 13:00:00,47084.26941902,47203.55509398,46942.27233566,47027.45458532,1413.9986935394256,626.30422206,1058.95299383,-432.64877176999994,0.00140356,0.66
22,2022-01-01 14:00:00,47026.67295874,47110.13838633,46856.07101684,46924.88217148,1645.570166740923,1218.03864467,1051.19564275,166.84300192,0.00053275,0.25
23,2022-01-01 15:00:00,46922.01078098,47494.40941313,46875.21161795,47226.0435544,3746.442494836582,1367.29783682,4035.46843611,-2668.1705992899997,0.02532877,11.96
24,2022-01-01 16:00:00,47226.25540098,47534.67944752,47184.86638269,47280.50435697,3786.033062943351,3770.38420611,1601.3704288,2169.01377731,0.07226782,34.16
25,2022-01-01 17:00:00,47278.36801563,47955.40337751,47248.44700189,47762.57823178,4089.760008426397,2494.73436654,1518.25778224,976.4765842999998,0.03203888,15.3
26,2022-01-01 18:00:00,47763.35002535,47850.27251797,47431.21744608,47576.03072641,2933.30066072546,1719.58760848,1704.72387796,14.86373051999999,0.03757316,17.87
27,2022-01-01 19:00:00,47573.43677078,47626.44363582,47295.64803209,47339.40986874,2328.2067219585324,985.06582946,1497.02068412,-511.9548546599999,0.0380099,17.99
28,2022-01-01 20:00:00,47338.91797597,47572.15513116,47258.55692688,47420.53327812,2270.9025537836224,1956.53900794,2735.90611786,-779.3671099200001,0.04675912,22.16
