,datetime,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_inflow_total,btc_outflow_total,btc_netflow_total,btc_coinbase_premium_index,btc_coinbase_premium_gap
0,2023-12-31 16:00:00,42432.11346609,42688.97338172,42417.88106218,42584.84528903,1142.7958787856314,1261.76082902,1380.25968188,-118.49885285999994,-0.03695489,-15.74
1,2023-12-31 17:00:00,42583.91275605,42634.56465958,42457.38254613,42598.49518032,864.0846155603349,1587.98905126,1587.82590642,0.16314484000008633,-0.06147892,-26.2
2,2023-12-31 18:00:00,42594.3934015,42704.21980974,42519.87340762,42650.73088317,876.209570905235,1171.90923195,1625.64717411,-453.7379421599999,-0.04578413,-19.53
3,2023-12-31 19:00:00,42637.87649618,42672.28795121,42520.08071435,42597.70952189,1002.2515590094856,11553.23227233,785.67436588,10767.55790645,-0.0635866,-27.1
4,2023-12-31 20:00:00,42592.93039962,42657.70809275,42489.97382785,42535.5707865,1070.0421236144875,534.52468582,604.50659664,-69.98191082000005,-0.05810892,-24.73
5,2023-12-31 21:00:00,42533.13755027,42644.77585925,42492.37891586,42497.52341881,1026.4735470455244,1025.43847622,879.71850663,145.71996959,-0.06697911,-28.48
6,2023-12-31 22:00:00,42506.24129254,42567.15358343,42089.80299151,42257.02621755,1715.1922446444232,720.79927565,1619.50105875,-898.7017831000001,-0.02148712,-9.08
7,2023-12-31 23:00:00,42253.37942319,42343.93689399,42073.25601258,42285.79990504,1549.9175182374993,571.94079947,1113.6328985,-541.69209903,0.01059513,4.48
8,2024-01-01 00:00:00,42286.36030888,42531.9216376,42261.77242205,42454.59584951,983.0010084669448,627.55072324,1526.04654967,-898.4958264300001,-0.05313685,-22.57
9,2024-01-01 01:00:00,42455.4620994,42759.25783839,42419.17047906,42607.1036801,1258.718187838842,1272.13497768,962.84140416,309.29357352,-0.04430515,-18.88
10,2024-01-01 02:00:00,42597.34110227,42626.72028855,42492.69572875,42579.76889502,636.7527261880393,963.12751017,826.78596332,136.3415468500001,-0.02296794,-9.78
11,2024-01-01 03:00:00,42583.96632437,42587.91668232,42219.16491058,42329.90591569,895.5635153372635,1887.15048145,1634.39417685,252.7563046,-0.01270952,-5.38
12,2024-01-01 04:00:00,42327.33184134,42412.42254934,42204.39110208,42397.37412844,835.6013996144579,1249.50899153,3052.59311276,-1803.08412123,-0.02410378,-10.22
13,2024-01-01 05:00:00,42393.16148173,42398.72577263,42180.05878473,42235.59579339,682.8053053675787,549.8569998,448.34601967,101.51098013000006,-0.00601411,-2.54
14,2024-01-01 06:00:00,42237.30508773,42450.43336614,42204.38969649,42397.47920844,716.208793960825,955.46142258,813.15415976,142.30726282,0.00993002,4.21
15,2024-01-01 07:00:00,42397.00303212,42527.97718692,42395.14679666,42495.32645939,958.572300201613,1161.54734365,809.57486993,351.9724737199999,0.00948404,4.03
16,2024-01-01 08:00:00,42493.01230592,42553.75195453,42453.70135453,42553.17864444,527.5482998843852,1644.4373842,1010.31173572,634.12564848,0.00636898,2.71
17,2024-01-01 09:00:00,42554.12724403,42726.37655703,42534.1908328,42652.83618063,724.139379246195,554.91760689,917.73707521,-362.81946831999994,0.00300119,1.28
18,2024-01-01 10:00:00,42648.18922107,42748.90279103,42632.09835627,42687.25076452,636.1769035518805,833.57956523,1584.99943422,-751.41986899,-0.00609026,-2.6
