start_time,coinbase_premium_gap,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index,coinbase_premium_index_usdt_adjusted,datetime
1672686000000,-7.45,-9.14752334,-0.04451067,-0.05465821,2023-01-02 19:00:00+00:00
1672689600000,-6.14,1.34300157,-0.03670378,0.00802462,2023-01-02 20:00:00+00:00
1672693200000,-6.69,-13.06297613,-0.0399218,-0.07798145,2023-01-02 21:00:00+00:00
1672696800000,-4.78,-7.56579407,-0.0286255,-0.04531606,2023-01-02 22:00:00+00:00
1672700400000,-5.92,-16.4477503,-0.03550678,-0.09871207,2023-01-02 23:00:00+00:00
1672704000000,-4.74,-8.93309743,-0.02839073,-0.05351917,2023-01-03 00:00:00+00:00
1672707600000,-5.13,-11.57155622,-0.03075982,-0.06941062,2023-01-03 01:00:00+00:00
1672711200000,-5.96,-14.96014117,-0.03574421,-0.08976964,2023-01-03 02:00:00+00:00
1672714800000,-7.57,-12.77734397,-0.04535158,-0.07657246,2023-01-03 03:00:00+00:00
1672718400000,-5.37,-13.24245181,-0.03218336,-0.07940181,2023-01-03 04:00:00+00:00
1672722000000,-5.79,-4.75602959,-0.0346178,-0.02843404,2023-01-03 05:00:00+00:00
1672725600000,-4.46,-8.637044,-0.02666255,-0.05164645,2023-01-03 06:00:00+00:00
1672729200000,-4.59,15.65181432,-0.02743617,0.09344363,2023-01-03 07:00:00+00:00
1672732800000,-4.55,-12.13386247,-0.0272207,-0.07262464,2023-01-03 08:00:00+00:00
1672736400000,-4.51,-10.29763828,-0.02693935,-0.06153161,2023-01-03 09:00:00+00:00
1672740000000,-5.26,-8.72076354,-0.0314512,-0.05215499,2023-01-03 10:00:00+00:00
1672743600000,-5.69,-12.39262488,-0.034029,-0.07414371,2023-01-03 11:00:00+00:00
1672747200000,-7.51,11.46667415,-0.04494086,0.06854022,2023-01-03 12:00:00+00:00
1672750800000,-6.61,-9.06179544,-0.03952042,-0.05418736,2023-01-03 13:00:00+00:00
1672754400000,-5.71,-11.73453416,-0.03427118,-0.07045565,2023-01-03 14:00:00+00:00
1672758000000,-5.11,-6.47050477,-0.03064111,-0.03880228,2023-01-03 15:00:00+00:00
1672761600000,-5.99,-11.76385316,-0.03603532,-0.0707949,2023-01-03 16:00:00+00:00
1672765200000,-7.93,-14.95089733,-0.04767444,-0.08992138,2023-01-03 17:00:00+00:00
1672768800000,-7.06,-12.85881297,-0.04241494,-0.07727985,2023-01-03 18:00:00+00:00
1672772400000,-5.99,-12.75619564,-0.03599031,-0.07667547,2023-01-03 19:00:00+00:00
1672776000000,-5.95,-7.39287464,-0.03571135,-0.04437519,2023-01-03 20:00:00+00:00
1672779600000,-7.48,-9.21678774,-0.04488549,-0.05531325,2023-01-03 21:00:00+00:00
1672783200000,-6.95,-11.32890877,-0.04167389,-0.06794872,2023-01-03 22:00:00+00:00
1672786800000,-5.71,-13.19932359,-0.03424251,-0.07919106,2023-01-03 23:00:00+00:00
1672790400000,-6.0,-13.99472193,-0.03601326,-0.08403957,2023-01-04 00:00:00+00:00
1672794000000,-5.81,-13.75278885,-0.03478632,-0.08238147,2023-01-04 01:00:00+00:00
1672797600000,-6.13,-10.34961142,-0.03662649,-0.06185408,2023-01-04 02:00:00+00:00
1672801200000,-5.18,-13.8673127,-0.03071993,-0.0822823,2023-01-04 03:00:00+00:00
1672804800000,-4.51,-7.85309994,-0.02674891,-0.04658615,2023-01-04 04:00:00+00:00
1672808400000,-5.35,-13.11409101,-0.03173648,-0.07782931,2023-01-04 05:00:00+00:00
1672812000000,-5.65,-11.17979811,-0.03347517,-0.06625987,2023-01-04 06:00:00+00:00
1672815600000,-4.61,-3.16530116,-0.02732752,-0.01876192,2023-01-04 07:00:00+00:00
1672819200000,-6.05,-11.15012953,-0.03587322,-0.06613421,2023-01-04 08:00:00+00:00
1672822800000,-3.88,-10.46299083,-0.02303366,-0.06213794,2023-01-04 09:00:00+00:00
1672826400000,-5.57,-6.63931552,-0.03306635,-0.03941685,2023-01-04 10:00:00+00:00
1672830000000,-6.03,-6.02865317,-0.03581749,-0.03580949,2023-01-04 11:00:00+00:00
