,datetime,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_inflow_total,btc_outflow_total,btc_netflow_total
0,2022-12-31 16:00:00,16590.84945927,16624.66652538,16580.83364954,16599.72639064,5273.985969776772,3194.8888207,1723.66868398,1471.22013672
1,2022-12-31 17:00:00,16589.46712345,16610.96393454,16563.34325651,16585.66320682,5721.819002572445,302.98853657,501.38407885,-198.39554227999997
2,2022-12-31 18:00:00,16584.14428643,16645.34219883,16551.01824812,16574.49634702,4488.314449925108,1412.39640082,1236.24750234,176.14889848000007
3,2022-12-31 19:00:00,16599.59664107,16624.39902118,16530.37863835,16570.18825587,5590.423922682057,1236.5547406,1231.78028983,4.774450770000158
4,2022-12-31 20:00:00,16563.94358457,16635.83965098,16543.75330115,16568.24220221,3535.807641537218,722.42173551,600.113965,122.30777050999995
5,2022-12-31 21:00:00,16557.64927691,16611.15675627,16517.87458238,16544.99419774,4831.940072789684,761.61947189,527.04179422,234.57767766999996
6,2022-12-31 22:00:00,16540.00404185,16587.42842777,16463.72310769,16521.79246918,8992.750434879827,1575.38536826,1247.28106001,328.10430825000003
7,2022-12-31 23:00:00,16514.42936694,16555.7271632,16480.6442406,16533.83594072,6325.236390071977,537.97334587,434.85625938,103.11708649000002
8,2023-01-01 00:00:00,16542.78372545,16564.46347931,16503.22656087,16536.74796724,5516.4203218796,2707.94450365,2398.28076731,309.66373634
9,2023-01-01 01:00:00,16522.38006148,16559.35558664,16516.18298247,16557.13653573,4513.341881155228,904.2886885,511.77189438,392.51679412
10,2023-01-01 02:00:00,16569.56588469,16570.07950617,16507.34675804,16548.14980468,4310.904313749651,817.80044133,348.0161934,469.78424793
11,2023-01-01 03:00:00,16539.04386758,16546.04671663,16513.79110734,16533.63287463,4893.417863567746,656.687528,448.70143141,207.98609659000005
12,2023-01-01 04:00:00,16525.15470972,16575.5384692,16508.7116708,16524.71215924,5209.002296640674,903.41396912,912.16777381,-8.753804689999924
13,2023-01-01 05:00:00,16556.58792621,16557.48387828,16504.55177903,16529.40806525,4055.630161881608,324.0506976,251.45792763,72.59276996999998
14,2023-01-01 06:00:00,16534.10169085,16562.02706941,16521.80909156,16541.53068251,3702.224332619756,623.43530846,528.18172513,95.25358332999996
15,2023-01-01 07:00:00,16530.52216643,16549.89817974,16494.31896138,16532.20215043,6125.2922310486765,436.58954488,356.92238078,79.66716409999998
